Species,SEX,Accession no.,Field Catalog. #,Population,Province,PAIC,Latitude,Longitude,S.V.L.,H.L.,SNL,ED,TD,E-N,IND,IOD,H.W.,forearm,femur,tibia,tarsus,foot,hand,Toe4L,Fin1L,Fin3L,3rd fin DW,3rd FinPF width,Toe 4 DW,Toe 4 PF width,PP/FinD3W,PP/Toe4DW,Toe4DW/Fin3DW
P_guiting,M,UPLB-MNH 4479,CGM 0931,Sibuyan,Romblon,RIG,12.44761,122.54953,14.6,6.8,2.4,2.3,1.8,1.5,1.9,1.8,6,3.6,7.3,7.1,4.4,6.6,3.2,4.4,1.6,1.8,0.3,0.2,0.4,0.3,0.7,0.8,1.3
P_guiting,M,UPLB-MNH 4453,CGM 0745,Sibuyan,Romblon,RIG,12.42928,122.55725,15.6,6.7,2.3,2.3,1.6,1.7,1.7,2.4,6.6,4.1,7,6,4.7,6.4,3.1,4.5,1.4,1.8,0.2,0.3,0.4,0.3,1.5,0.8,2
P_guiting,F,UPLB-MNH 4452,CGM 0741,Sibuyan,Romblon,RIG,12.42928,122.55725,16.5,6.8,2.7,2.6,1.6,1.8,1.8,2,6.7,4.1,7.1,6.3,4.6,6.6,3.6,5.4,1.5,2,0.3,0.4,0.6,0.5,1.3,0.8,2
P_guiting,M,UPLB-MNH 4473,CGM 0855,Sibuyan,Romblon,RIG,12.43374,122.55421,14.3,6.6,2.4,2.5,1.5,1.4,1.6,1.7,5.7,3.6,6.1,5.6,3.8,5.5,2.8,3.9,1.4,2.1,0.3,0.3,0.4,0.3,1,0.8,1.3
P_guiting,M,UPLB-MNH 4460,CGM 0752,Sibuyan,Romblon,RIG,12.42928,122.55725,16.1,6.8,2.5,2.4,1.7,1.5,1.9,2.4,6.3,3.9,7.1,6.2,4.2,6.2,2.8,4.4,1.8,1.9,0.3,0.3,0.5,0.4,1,0.8,1.7
P_guiting,M,UPLB-MNH 4565,CGM 0543,Sibuyan,Romblon,RIG,12.45698,122.54534,14,6.5,2.5,2,1.5,1.4,1.3,1.6,5.6,3.3,7.1,6.4,4.2,5.6,3.1,4.6,1.6,1.8,0.3,0.2,0.4,0.3,0.7,0.8,1.3
P_guiting,M,UPLB-MNH 4568,CGM 0550,Sibuyan,Romblon,RIG,12.45698,122.54534,13.5,6.1,2,1.9,1.4,1.2,1.6,1.7,5.5,3.6,7.4,6.6,4.2,6.1,3,4.2,1.3,1.8,0.2,0.2,0.4,0.3,1,0.8,2
P_guiting,M,UPLB-MNH 4573,CGM 0635,Sibuyan,Romblon,RIG,12.48456,122.54993,15.8,6.8,2.4,2.2,1.6,1.7,1.7,2,6.3,3.8,7.6,7.1,4.7,7,3.1,5.4,1.5,1.6,0.3,0.2,0.5,0.4,0.7,0.8,1.7
P_pygmaeus,M,KU 330246,RMB 15133,Mt. Cagua,Cagayan,Luzon,18.236,122.104,14.3,5.8,2.8,1.6,1,1.5,1.7,1.9,6,3.6,7.6,7.4,4.9,6.8,3.4,4.8,1.6,2.2,0.2,0.2,0.4,0.3,1,0.8,2
P_pygmaeus,M,KU 329005,RMB13874,Angat,Bulacan,Luzon,15.0333,121.2032,14.4,6.4,2.3,2,1.2,1.4,1.6,2.2,6.3,4.4,8.7,8.2,5.2,7.7,3.5,4.8,2,2.3,0.2,0.2,0.6,0.3,1,0.5,3
P_pygmaeus,M,KU 330243,RMB 14780,Mt. Cagua,Cagayan,Luzon,18.219,122.111,14.2,6.1,2.2,2.4,1.1,1.3,1.6,2.2,5.9,3.8,8,7.3,4.9,6.3,3,4.7,1.7,1.9,0.2,0.2,0.6,0.4,1,0.7,3
P_pygmaeus,M,KU 330239,RMB 14546,Mt. Cagua,Cagayan,Luzon,18.219,122.111,16.2,7.5,2.3,2.3,1.4,1.5,1.6,2.2,6.7,4.6,8.3,8.3,5.3,7.2,3.6,4.7,2.6,2.4,0.3,0.2,0.5,0.4,0.7,0.8,1.7
P_pygmaeus,M,KU 329008,RMB 13919,Angat,Bulacan,Luzon,15.0333,121.2032,15,6.9,2.1,2.5,1,1.2,1.6,1.9,6.6,4.1,8,7.4,4.8,8,3.3,5,1.8,2.1,0.4,0.3,0.7,0.5,0.8,0.7,1.8
P_pygmaeus,M,KU 329004,RMB 13873,Angat,Bulacan,Luzon,15.0333,121.2032,16.5,7.2,2.2,2.6,1.6,1.6,1.8,2.2,6.6,4.7,9.2,8.3,5.3,7.6,3.5,6,2,2.4,0.4,0.3,0.7,0.6,0.8,0.9,1.8
P_pygmaeus,F,KU 329758,RMB 14358,Mt. Pao,Ilocos Norte,Luzon,18.438,120.878,17.2,7.1,2.4,2.7,1.7,1.4,1.9,2.4,7,4.2,8.8,8.3,5.6,8.7,3.7,5.5,2.7,3,0.5,0.5,0.5,0.4,1,0.8,1
P_pygmaeus,M,KU 329761,RMB 14438,Mt. Pao,Ilocos Norte,Luzon,18.449,120.894,15,6.5,2,2.2,1.6,1.2,1.8,1.7,6.4,4.1,8,7.9,5.1,7.2,3.3,5.1,1.8,2.3,0.4,0.3,0.5,0.4,0.8,0.8,1.3
P_pygmaeus,M,KU 329006,RMB 13875,Angat,Bulacan,Luzon,15.0333,121.2032,15.1,6.6,2,2.1,1.5,1.3,1.7,1.5,6.5,4.4,8.4,8.2,5.4,7.7,3.2,5.2,2.2,2.1,0.4,0.3,0.5,0.3,0.8,0.6,1.3
P_pygmaeus,M,KU 330247,RMB 15134,Mt. Cagua,Cagayan,Luzon,18.236,122.104,15.1,6.6,2.2,2.3,1.7,1.2,1.6,1.7,6.6,4.2,7.7,7,4.5,6.7,3.4,5.1,2.1,2.2,0.3,0.3,0.5,0.3,1,0.6,1.7
P_pygmaeus,M,KU 330248,RMB 15135,Mt. Cagua,Cagayan,Luzon,18.236,122.104,13.8,6.1,1.9,2.1,1.3,1.1,1.4,1.7,5.8,3.7,7.7,7.2,4.4,7.4,3.2,4.7,1.7,2.1,0.2,0.2,0.4,0.3,1,0.8,2
P_pygmaeus,M,KU 330245,RMB 15094,Mt. Cagua,Cagayan,Luzon,18.236,122.104,15.3,6.3,2.1,2.2,1.4,1.1,1.5,1.6,6.5,3.9,7.9,7.7,4.6,7.2,3.4,5,1.9,2.1,0.4,0.3,0.5,0.3,0.8,0.6,1.3
P_pygmaeus,M,KU 322070,RMB 12664,Baler,Aurora,Luzon,15.742,121.576,13.1,5.6,1.9,2,1.6,1.2,1.4,1.6,5.1,3.4,6.6,6.3,4.2,6,3.1,3.8,1.7,1.9,0.2,0.2,0.4,0.4,1,1,2
P_pygmaeus,M,KU 322068,RMB 11912,Maria Aurora,Aurora,Luzon,15.685,121.341,13.5,5.9,1.9,2,1.1,1.2,1.5,1.6,6.2,3.9,8.2,7.3,4.6,6.9,2.8,3.8,1.5,1.7,0.2,0.3,0.4,0.4,1.5,1,2
P_pygmaeus,M,KU 330240,RMB 14576,Mt. Cagua,Cagayan,Luzon,18.219,122.111,14.8,6.5,2.3,2.3,1,1.3,1.7,1.5,5.9,3.7,7.7,7.6,4.8,6.8,3.9,4.8,2.2,2,0.4,0.3,0.4,0.4,0.8,1,1
P_pygmaeus,M,KU 329756,RMB 14152,Mt. Pao,Ilocos Norte,Luzon,18.438,120.878,14.2,6.1,2,2.2,1.1,1.1,1.5,1.7,5.7,3.9,7.4,6.7,4.6,6.3,3,3.9,1.5,2,0.3,0.3,0.4,0.4,1,1,1.3
P_pygmaeus,M,KU 329007,RMB 13876,Angat,Bulacan,Luzon,15.0333,121.2032,13.2,5.5,2.1,1.9,1,1,1.6,1.3,5.8,3.3,7.3,7.3,4.5,6.7,3.1,3.5,1.5,1.9,0.2,0.2,0.4,0.3,1,0.8,2
P_pygmaeus,M,KU 330242,RMB 14779,Mt. Pao,Ilocos Norte,Luzon,18.438,120.878,13,5.8,1.6,1.9,1,1,1.5,1.3,5.6,3,6.5,5.4,3.2,5.6,4.2,3.5,1.6,2.2,0.3,0.2,0.2,0.2,0.7,1,0.7
P_pygmaeus,M,KU 330244,RMB 15093,Mt. Cagua,Cagayan,Luzon,18.236,122.104,13.9,6.3,2.1,2,1.4,1.3,1.6,2,5.9,3.6,7.9,7.5,4.8,7,3,5.3,1.9,2.2,0.3,0.2,0.4,0.3,0.7,0.8,1.3
P_pygmaeus,M,KU XXXXXX,ACD 2045,San Mariano,Sierra Madre,Luzon,16.98335,122.00956,13.4,6.3,2.5,1.9,1.3,1.4,1.6,1.8,6.1,3.5,7.6,7,4.5,6.3,3.2,4.4,2,2.1,0.2,0.2,0.5,0.4,1,0.8,2.5
P_pygmaeus,M,KU XXXXXX,ACD 2067,San Mariano,Sierra Madre,Luzon,16.98335,122.00956,15,6.1,2.6,2,1.1,1.3,1.9,2,5.9,3.6,7.6,7.1,4.9,6.9,2.7,5.2,1.8,2,0.3,0.2,0.5,0.4,0.7,0.8,1.7
P_pygmaeus,M,KU XXXXXX,ACD 2051,San Mariano,Sierra Madre,Luzon,16.98335,122.00956,15.1,6.5,2.4,2.3,1.3,1.3,1.9,2,6,4.2,7.8,7.4,4.6,6.3,2.9,4.7,2.2,2,0.4,0.3,0.6,0.3,0.8,0.5,1.5
P_pygmaeus,M,KU XXXXXX,ACD 2081,San Mariano,Sierra Madre,Luzon,16.98335,122.00956,13.1,6.4,2.3,2.2,1.3,1.3,1.7,1.5,5.5,3.5,8.4,7.3,4.4,6.5,2.6,4.6,1.5,1.9,0.3,0.2,0.5,0.4,0.7,0.8,1.7
P_pygmaeus,M,KU XXXXXX,ACD 1768,San Mariano,Sierra Madre,Luzon,16.98335,122.00956,15.4,6.6,2.7,2.2,1.3,1.3,1.7,1.8,6.1,3.9,7.7,7.3,5.3,7,3.2,5.1,1.7,2.3,0.4,0.3,0.4,0.3,0.8,0.8,1
