Sites,Long,Lat,Htypes,Elev,SPPTotal,Babu,Inph,Liac,Lipa,Ocla,Leta,Meli,Chfu,Pumo,Sasa,Stnu,Phev,Phlo,Pole,Poma,Brsp,Cyre,Geat,Gege,Gemo,Hety,Eumu,Bosc,Dema,Drru,Apbo,Trsu
ASG_ST2,118.51294,9.52648,ASG,140,4,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
ASG_ST3,118.50643,9.52456,ASG,219,4,0,0,1,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASG_ST4,118.5076,9.52193,ASG,370,4,0,0,1,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OGF_ALAMT8,118.21127,9.36995,OGF,423,5,0,0,0,0,0,0,1,0,0,0,0,0,16,0,2,0,0,1,0,1,0,0,0,0,0,0,0
ASG_ALALT1,118.18194,9.34083,ASG,189,5,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ASG_APUT3,118.37985,9.56539,ASG,113,5,0,0,2,0,0,3,0,0,4,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESG_APUT1,118.3829,9.5706,ESG,60,6,0,1,7,0,0,0,2,0,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ESG_APUT4,118.3776,9.56334,ESG,146,6,0,2,5,0,0,0,4,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ASG_ST1,118.50972,9.52624,ASG,210,7,0,0,1,0,0,2,0,1,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
ESG_IT1*,118.51285,9.50722,ESG,140,7,0,0,4,0,1,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASG_ET3*,118.39761,9.37316,ASG,227,8,0,0,1,0,1,10,1,0,14,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
ASG_APUT2,118.38157,9.56813,ASG,83,8,0,1,2,0,0,5,1,0,5,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterisks denote samples which inlvoved stream (*) and near water bodies (**),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hashtag (#) denotes samples found near disturbance (forest edges),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
